##Information for OU lines are available from NBRP Barley (earth.nig.ac.jp/~dclust/cgi-bin/index.cgi)
SV ID	OU ID	Origin	ISO code	region
SV073	I003	IND	IND	Southwest Asia
SV085	I304	IND	IND	Southwest Asia
SV097	I607	IND	IND	Southwest Asia
SV168	N005	NPL	NPL	Nepal
SV169	N009	NPL	NPL	Nepal
SV170	N016	NPL	NPL	Nepal
SV171	N017	NPL	NPL	Nepal
SV172	N031	NPL	NPL	Nepal
SV173	N051	NPL	NPL	Nepal
SV174	N055	NPL	NPL	Nepal
SV175	N077	NPL	NPL	Nepal
SV176	N308	NPL	NPL	Nepal
SV177	N319	NPL	NPL	Nepal
SV178	N333	NPL	NPL	Nepal
SV179	N340	NPL	NPL	Nepal
SV180	N344	NPL	NPL	Nepal
SV181	N369	NPL	NPL	Nepal
SV182	N615	NPL	NPL	Nepal
SV183	N622	NPL	NPL	Nepal
SV184	N628	NPL	NPL	Nepal
SV185	N630	NPL	NPL	Nepal
SV186	N647	NPL	NPL	Nepal
SV187	N653	NPL	NPL	Nepal
SV188	N661	NPL	NPL	Nepal
SV138	K001	KOR	KOR	Korean peninsula
SV139	K002	KOR	KOR	Korean peninsula
SV140	K003	KOR	KOR	Korean peninsula
SV141	K043	KOR	KOR	Korean peninsula
SV142	K059	KOR	KOR	Korean peninsula
SV143	K060	KOR	KOR	Korean peninsula
SV144	K094	KOR	KOR	Korean peninsula
SV145	K095	KOR	KOR	Korean peninsula
SV146	K108	KOR	KOR	Korean peninsula
SV147	K113	KOR	KOR	Korean peninsula
SV148	K117	KOR	KOR	Korean peninsula
SV149	K304	KOR	KOR	Korean peninsula
SV150	K311	KOR	KOR	Korean peninsula
SV151	K327	KOR	KOR	Korean peninsula
SV152	K329	KOR	KOR	Korean peninsula
SV153	K342	KOR	KOR	Korean peninsula
SV154	K374	KOR	KOR	Korean peninsula
SV155	K377	KOR	KOR	Korean peninsula
SV156	K401	KOR	KOR	Korean peninsula
SV157	K419	KOR	KOR	Korean peninsula
SV158	K602	KOR	KOR	Korean peninsula
SV159	K624	KOR	KOR	Korean peninsula
SV160	K625	KOR	KOR	Korean peninsula
SV161	K638	KOR	KOR	Korean peninsula
SV162	K655	KOR	KOR	Korean peninsula
SV163	K672	KOR	KOR	Korean peninsula
SV164	K689	KOR	KOR	Korean peninsula
SV165	K692	KOR	KOR	Korean peninsula
SV166	K702	KOR	KOR	Korean peninsula
SV167	K706	KOR	KOR	Korean peninsula
SV017	C001	CHN	CHN	China
SV018	C018	CHN	CHN	China
SV019	C040	CHN	CHN	China
SV020	C043	CHN	CHN	China
SV021	C045	CHN	CHN	China
SV022	C059	CHN	CHN	China
SV023	C302	CHN	CHN	China
SV024	C304	CHN	CHN	China
SV025	C319	CHN	CHN	China
SV026	C328	CHN	CHN	China
SV027	C331	CHN	CHN	China
SV028	C336	CHN	CHN	China
SV029	C346	CHN	CHN	China
SV030	C616	CHN	CHN	China
SV031	C619	CHN	CHN	China
SV032	C621	CHN	CHN	China
SV033	C624	CHN	CHN	China
SV034	C627	CHN	CHN	China
SV035	C656	CHN	CHN	China
SV108	J016	JPN	JPN	Japan
SV109	J040	JPN	JPN	Japan
SV110	J044	JPN	JPN	Japan
SV111	J064	JPN	JPN	Japan
SV112	J069	JPN	JPN	Japan
SV113	J075	JPN	JPN	Japan
SV114	J080	JPN	JPN	Japan
SV115	J087	JPN	JPN	Japan
SV116	J097	JPN	JPN	Japan
SV117	J183	JPN	JPN	Japan
SV118	J326	JPN	JPN	Japan
SV119	J330	JPN	JPN	Japan
SV120	J334	JPN	JPN	Japan
SV121	J338	JPN	JPN	Japan
SV122	J366	JPN	JPN	Japan
SV123	J369	JPN	JPN	Japan
SV124	J386	JPN	JPN	Japan
SV125	J395	TPE	JPN	Japan
SV126	J396	TPE	JPN	Japan
SV127	J467	JPN	JPN	Japan
SV128	J639	JPN	JPN	Japan
SV129	J647	JPN	JPN	Japan
SV130	J669	JPN	JPN	Japan
SV131	J672	JPN	JPN	Japan
SV132	J674	JPN	JPN	Japan
SV133	J682	JPN	JPN	Japan
SV134	J689	JPN	JPN	Japan
SV135	J691	JPN	JPN	Japan
SV136	J696	TPE	JPN	Japan
SV137	J697	TPE	JPN	Japan
SV003	A321	USA	USA	North America
SV005	A607	USA	USA	North America
SV001	A002	CDA	CAN	North America
SV002	A008	CDA	CAN	North America
SV004	A604	CDA	CAN	North America
SV224	U089	AZR	AZE	Europe
SV226	U094	AZR	AZE	Europe
SV269	U694	AZR	AZE	Europe
SV074	I012	AFG	AFG	Southwest Asia
SV086	I323	AFG	AFG	Southwest Asia
SV100	I622	AFG	AFG	Southwest Asia
SV006	B008	NAF	DZA	North Africa
SV010	B318	AGA	DZA	North Africa
SV014	B623	AGA	DZA	North Africa
SV016	B670	NAF	DZA	North Africa
SV225	U090	ARM	ARM	Europe
SV227	U095	ARM	ARM	Europe
SV248	U397	ARM	ARM	Europe
SV075	I024	IRQ	IRQ	Southwest Asia
SV079	I166	IRQ	IRQ	Southwest Asia
SV080	I167	IRQ	IRQ	Southwest Asia
SV081	I170	IRQ	IRQ	Southwest Asia
SV082	I173	IRQ	IRQ	Southwest Asia
SV083	I174	IRQ	IRQ	Southwest Asia
SV087	I325	IRQ	IRQ	Southwest Asia
SV096	I475	IRQ	IRQ	Southwest Asia
SV103	I764	IRQ	IRQ	Southwest Asia
SV104	I765	IRQ	IRQ	Southwest Asia
SV105	I766	IRQ	IRQ	Southwest Asia
SV106	I771	IRQ	IRQ	Southwest Asia
SV107	I776	IRQ	IRQ	Southwest Asia
SV077	I032	IRN	IRN	Southwest Asia
SV078	I036	IRN	IRN	Southwest Asia
SV084	I182	IRN	IRN	Southwest Asia
SV090	I334	IRN	IRN	Southwest Asia
SV091	I335	IRN	IRN	Southwest Asia
SV092	I337	IRN	IRN	Southwest Asia
SV093	I339	IRN	IRN	Southwest Asia
SV102	I639	IRN	IRN	Southwest Asia
SV009	B069	EGP	EGY	North Africa
SV012	B349	EGP	EGY	North Africa
SV013	B369	EGP	EGY	North Africa
SV015	B669	EGP	EGY	North Africa
SV036	E216	ETP	ETH	Ethiopia
SV037	E245	ETP	ETH	Ethiopia
SV038	E254	ETP	ETH	Ethiopia
SV039	E269	ETP	ETH	Ethiopia
SV040	E278	ETP	ETH	Ethiopia
SV041	E284	ETP	ETH	Ethiopia
SV042	E285	ETP	ETH	Ethiopia
SV043	E525	ETP	ETH	Ethiopia
SV044	E550	ETP	ETH	Ethiopia
SV045	E559	ETP	ETH	Ethiopia
SV046	E560	ETP	ETH	Ethiopia
SV047	E574	ETP	ETH	Ethiopia
SV048	E581	ETP	ETH	Ethiopia
SV049	E589	ETP	ETH	Ethiopia
SV050	E821	ETP	ETH	Ethiopia
SV051	E832	ETP	ETH	Ethiopia
SV052	E862	ETP	ETH	Ethiopia
SV053	E863	ETP	ETH	Ethiopia
SV054	E864	ETP	ETH	Ethiopia
SV055	E872	ETP	ETH	Ethiopia
SV056	E879	ETP	ETH	Ethiopia
SV057	E883	ETP	ETH	Ethiopia
SV058	F001	ETP	ETH	Ethiopia
SV059	F003	ETP	ETH	Ethiopia
SV060	F035	ETP	ETH	Ethiopia
SV061	F037	ETP	ETH	Ethiopia
SV062	F038	ETP	ETH	Ethiopia
SV063	F313	ETP	ETH	Ethiopia
SV064	F318	ETP	ETH	Ethiopia
SV065	F322	ETP	ETH	Ethiopia
SV066	F324	ETP	ETH	Ethiopia
SV067	F336	ETP	ETH	Ethiopia
SV068	F606	ETP	ETH	Ethiopia
SV069	F619	ETP	ETH	Ethiopia
SV070	F629	ETP	ETH	Ethiopia
SV071	F635	ETP	ETH	Ethiopia
SV072	F639	ETP	ETH	Ethiopia
SV249	U400	GEO	GEO	Europe
SV268	U692	GEO	GEO	Europe
SV076	I027	SAR	SYR	Southwest Asia
SV088	I326	SAR	SYR	Southwest Asia
SV089	I327	SAR	SYR	Southwest Asia
SV101	I626	SAR	SYR	Southwest Asia
SV008	B033	TNS	TUN	North Africa
SV011	B327	TNS	TUN	North Africa
SV189	T001	TKY	TUR	Turkey
SV190	T011	TKY	TUR	Turkey
SV191	T021	TKY	TUR	Turkey
SV192	T267	TKY	TUR	Turkey
SV193	T268	TKY	TUR	Turkey
SV194	T304	TKY	TUR	Turkey
SV195	T314	TKY	TUR	Turkey
SV196	T324	TKY	TUR	Turkey
SV197	T334	TKY	TUR	Turkey
SV198	T566	TKY	TUR	Turkey
SV199	T567	TKY	TUR	Turkey
SV200	T568	TKY	TUR	Turkey
SV201	T607	TKY	TUR	Turkey
SV202	T617	TKY	TUR	Turkey
SV203	T627	TKY	TUR	Turkey
SV204	T637	TKY	TUR	Turkey
SV205	T867	TKY	TUR	Turkey
SV206	T868	TKY	TUR	Turkey
SV094	I341	PKS	PAK	Southwest Asia
SV095	I343	PKS	PAK	Southwest Asia
SV098	I617	PKS	PAK	Southwest Asia
SV099	I618	PKS	PAK	Southwest Asia
SV007	B015	MRC	MAR	North Africa
SV219	U050	UTK	GBR	Europe
SV220	U051	UTK	GBR	Europe
SV241	U351	UTK	GBR	Europe
SV242	U352	UTK	GBR	Europe
SV208	U009	ITL	ITA	Europe
SV209	U013	ITL	ITA	Europe
SV254	U610	ITL	ITA	Europe
SV255	U613	ITL	ITA	Europe
